x_abs_m,x_local_m,x_H2_molfrac,x_N2_molfrac,x_Air_molfrac,x_O2_molfrac,x_inert_molfrac
665.0,665.0,1.0,7.043275304594622e-194,1.5902123207497848e-251,3.339445873574548e-252,7.043275304594622e-194
675.0,675.0,1.0,2.6120074549449276e-193,6.99997811612339e-251,1.469995404385912e-251,2.6120074549449276e-193
685.0,685.0,1.0,9.664633689142839e-193,3.0751731733746835e-250,6.457863664086835e-251,9.664633689142839e-193
695.0,695.0,1.0,3.5678806348254876e-192,1.3482604480648825e-249,2.831346940936253e-250,3.5678806348254876e-192
705.0,705.0,1.0,1.3141706075254118e-191,5.899420172006977e-249,1.2388782361214652e-249,1.3141706075254118e-191
715.0,715.0,1.0,4.829611238709484e-191,2.576179833217726e-248,5.409977649757224e-249,4.829611238709484e-191
725.0,725.0,1.0,1.7708996963316504e-190,1.122727427256487e-247,2.3577275972386223e-248,1.7708996963316504e-190
735.0,735.0,1.0,6.478872005074069e-190,4.8831919157901625e-247,1.025470302315934e-247,6.478872005074069e-190
745.0,745.0,1.0,2.364997437446755e-189,2.119651948184105e-246,4.4512690911866204e-247,2.364997437446755e-189
755.0,755.0,1.0,8.613702976347093e-189,9.182408588009798e-246,1.9283058034820576e-246,8.613702976347093e-189
765.0,765.0,1.0,3.130250387445082e-188,3.969903649790286e-245,8.3367976645596e-246,3.130250387445082e-188
775.0,775.0,1.0,1.1350112886888816e-187,1.712910257818344e-244,3.597111541418522e-245,1.1350112886888816e-187
785.0,785.0,1.0,4.106341623328408e-187,7.375993776640218e-244,1.548958693094446e-244,4.106341623328408e-187
795.0,795.0,1.0,1.4823323072310239e-186,3.1698430411703326e-243,6.656670386457699e-244,1.4823323072310239e-186
805.0,805.0,1.0,5.339165872538225e-186,1.3595220540390907e-242,2.85499631348209e-243,5.339165872538225e-186
815.0,815.0,1.0,1.91884667823423e-185,5.819236880682733e-242,1.2220397449433739e-242,1.91884667823423e-185
